id,cause_of_death,missing,dead,affected_nationality
1,Drowning,1.0,1.0,Iraq
3,Fell from train,0.0,1.0,Honduras
7,Vehicle accident,0.0,4.0,Cambodia
12,Died of unknown cause in hospital shortly after rescue,0.0,1.0,Syria
13,Drowning,0.0,1.0,Iran
14,Drowning,7.0,3.0,Afghanistan
16,Drowning,0.0,4.0,Afghanistan
17,Exposure,0.0,1.0,Afghan
19,Drowning,0.0,8.0,Comorian
31,Drowning,0.0,3.0,Afghanistan
34,Drowning,0.0,1.0,Afghanistan
38,Drowning,0.0,1.0,Syria
43,Drowning,0.0,1.0,Guinean
50,Drowning,1.0,1.0,Senegal
56,Drowning,1.0,4.0,Syria
59,Drowning,3.0,4.0,Iraq
61,Drowning,0.0,3.25,Afghanistan
61,Drowning,0.0,3.25,Syria
63,Hit by vehicle,0.0,1.0,Syria
65,Shot,0.0,1.0,Afghanistan
66,Drowning,0.0,3.0,Syria
69,Drowning,0.0,2.0,Iraq
70,Drowning,2.0,7.0,Lebanese
71,Vehicle accident,0.0,8.0,Ethiopia
72,Drowning,0.0,1.222222222222222,Syria
72,Drowning,0.0,1.222222222222222,Egyptian
72,Drowning,0.0,1.222222222222222,other Africa
73,Drowning,0.0,1.0,Syria
74,Drowning,0.0,0.5,Cameroon
74,Drowning,0.0,0.5,Guinea
75,Vehicle accident,0.0,3.0,Haitian
79,Hit by train,0.0,1.0,Eritrea
82,drowning,0.0,2.0,Afghan
85,Hi by truck,0.0,1.0,Iraq
86,Drowning,5.0,1.0,Syria
87,Crushed to death,0.0,1.0,Iraq
89,Drowning,0.0,4.25,Mostly from Syria
89,Drowning,0.0,4.25,possibly some from Iraq
92,Hit by train,0.0,1.0,Likely Eritrea
97,Drowning,24.0,2.0,Syria Kurds
102,Drowning,0.0,13.0,Syria
103,Drowning,0.0,1.0,Syria
104,Electrocution,0.0,1.0,Syria
106,Drowning,0.0,1.375,Syria
106,Drowning,0.0,1.375,Afghanistan
106,Drowning,0.0,1.375,Iraq
106,Drowning,0.0,1.375,Iran
107,Drowning,0.0,2.0,Syria
108,Drowning,0.0,1.0,Syria
109,Hit by vehicle,0.0,1.0,Eritrea
114,Train accident,0.0,1.0,Afghanistan
120,Drowning,0.0,1.0,Eritrea
120,Drowning,0.0,0.5,Syria
121,Drowning,0.0,4.437869822485207,Syria
121,Drowning,0.0,4.437869822485207,Somalia
121,Drowning,0.0,4.437869822485207,Gambia
121,Drowning,0.0,4.437869822485207,Ivory Coast
121,Drowning,0.0,4.437869822485207,Mali
121,Drowning,0.0,4.437869822485207,Tunisia
121,Drowning,0.0,4.437869822485207,Sierra Leone
121,Drowning,0.0,4.437869822485207,Bangladesh
121,Drowning,0.0,4.437869822485207,Algeria
121,Drowning,0.0,4.437869822485207,Egypt
121,Drowning,0.0,4.437869822485207,Niger
121,Drowning,0.0,4.437869822485207,Zambia
121,Drowning,0.0,4.437869822485207,Ghana
122,Burned,0.0,1.0,Eritrea or Somalia
123,Drowning,0.0,4.5555555555555545,Survivors from Nigeria
123,Drowning,0.0,4.5555555555555545,Ghana
123,Drowning,0.0,4.5555555555555545,Niger
124,Drowning,3.0,0.0,Ghana
124,Drowning,3.0,0.0,Nigeria
127,Drowning,15.0,0.0,China
129,Drowning,3.0,0.0,Costa rica
130,Drowning,0.0,0.1111111111111111,Survivors from Syria
130,Drowning,0.0,0.1111111111111111,Iraq
130,Drowning,0.0,0.1111111111111111,and Somalia
131,Drowning,0.0,0.5,Somalia
131,Drowning,0.0,0.5,Eritrea
132,Drowning,19.0,21.0,Haiti
133,Drowning,1.0,1.75,Syria
133,Drowning,1.0,1.75,Iraq
135,Drowning,0.0,1.0,Mexico
136,Drowning,0.0,1.0,Cuba or Dominican Republic
141,Drowning,0.0,1.0,Nigerian
143,Drowning,0.75,1.25,Syria
143,Drowning,0.75,1.25,Iraq
144,Train accident,0.0,6.0,Honduras
146,Hypothermia,0.0,2.0,Ethnic Yazidis
150,Drowning,10.0,2.5,Eritrea
150,Drowning,10.0,2.5,Sudan
156,Beaten to death,0.0,1.0,Ethiopia
157,Drowning,2.861111111111111,0.0,Senegal
157,Drowning,2.861111111111111,0.0,Ivory Coast
157,Drowning,2.861111111111111,0.0,Gambia
157,Drowning,2.861111111111111,0.0,Guinea
157,Drowning,2.861111111111111,0.0,Niger
157,Drowning,2.861111111111111,0.0,Mali and Mauritania
158,Drowning,2.777777777777778,0.0,Senegal
158,Drowning,2.777777777777778,0.0,Ivory Coast
158,Drowning,2.777777777777778,0.0,Gambia
158,Drowning,2.777777777777778,0.0,Guinea
158,Drowning,2.777777777777778,0.0,Niger
158,Drowning,2.777777777777778,0.0,Mali and Mauritania
159,Drowning,2.888888888888889,0.0,Senegal
159,Drowning,2.888888888888889,0.0,Ivory Coast
159,Drowning,2.888888888888889,0.0,Gambia
159,Drowning,2.888888888888889,0.0,Guinea
159,Drowning,2.888888888888889,0.0,Niger
159,Drowning,2.888888888888889,0.0,Mali and Mauritania
160,Hypothermia,0.0,3.0,Ivory Coast
160,Hypothermia,0.0,1.4,Mali
160,Hypothermia,0.0,1.0,Senegal
160,Hypothermia,0.0,0.2,Guinea
160,Hypothermia,0.0,0.2,Mauritania
161,Drowning,0.5,2.0,Iran
161,Drowning,0.5,1.5,Iraq
