id,cause_of_death,region_origin,missing,dead,incident_region,date,source,reliability,lat,lon,affected_nationality
1,Presumed drowning,Middle East,1.0,1.0,Mediterranean,05/11/2015,IOM Greece,Verified,36.8915,27.2877,Iraq
3,Fell from train,Central America & Mexico,0,1.0,Central America incl. Mexico,03/11/2015,La Jornada,Partially Verified,15.9564,-93.6631,Honduras
4,Presumed drowning,Middle East,0,1.0,Mediterranean,03/11/2015,Hellenic Coast Guard,Verified,36.50438994,27.36325278,UNKNOWN
6,Drowning,MENA,6.0,4.0,Mediterranean,01/11/2015,Reuters,Partially Verified,37.2856,27.0866,UNKNOWN
7,Vehicle accident,South East Asia,0,4.0,Southeast Asia,01/11/2015,Phnom Penh Post,Partially Verified,13.3611,100.985,Cambodia
8,Drowning,MENA,0,11.0,Mediterranean,01/11/2015,Hellenic Coast Guard,Verified,37.75181406,26.96029054,UNKNOWN
9,Drowning,MENA,0,1.0,Mediterranean,01/11/2015,Hellenic Coast Guard,Verified,38.35754036,26.45215693,UNKNOWN
10,Drowning,MENA,0,1.0,Mediterranean,01/11/2015,Hellenic Coast Guard,Verified,39.27619474,26.38344341,UNKNOWN
11,Drowning,UNKNOWN,0.0,3.0,Mediterranean,28/10/2015,AP,Partially Verified,37.4578,26.9721,UNKNOWN
12,Died of unknown cause in hospital shortly after rescue,MENA,0,1.0,Mediterranean,28/10/2015,IOM Greece,Verified,39.37081581,26.17647329,Syria
13,Drowning,MENA,0,1.0,Mediterranean,26/10/2015,IOM Greece,Verified,39.28097838,26.38413005,Iran
14,Presumed drowning,South Asia,7.0,3.0,Mediterranean,23/10/2015,IOM Greece,Verified,39.27300546,26.42326885,Afghanistan
15,Presumed drowning,Middle East/ South Asia,0,1.0,Mediterranean,01/11/2015,Hellenic Coast Guard,Verified,39.27406857,26.38618999,UNKNOWN
16,Drowning,UNKNOWN,0,4.0,Mediterranean,31/10/2015,Hurriyet Daily News,Partially Verified,39.27991538,26.38893657,Afghanistan
17,Exposure. Died upon entry to refugee camp.,South Asia,0,1.0,Europe,31/10/2015,AP,Partially Verified,45.2604,19.1706,Afghan
18,Drowning,UNKNOWN,0,1.0,Mediterranean,30/10/2015,AP,Partially Verified,39.27406857,26.38824993,UNKNOWN
19,Drowning,Sub-Saharan Africa,0,8.0,Sub-Saharan Africa,30/10/2015,LINFO,Partially Verified,-11.8028,43.8519,Likely Comorian
20,Drowning,Middle East/ South Asia,0,1.0,Mediterranean,30/10/2015,Hellenic Coast Guard,Verified,37.4578,26.9721,UNKNOWN
